lua,benchmark,input,duration,emissions,energy_consumed
Lua 5.4.6,Spectralnorm,4000,33.655877113342285,1.5028042232840513e-05,6.405678580098682e-05
Lua 5.4.6,Spectralnorm,4000,33.75586819648743,1.7334616313503135e-05,7.388852033632333e-05
Lua 5.4.6,Spectralnorm,4000,33.69483280181885,1.5194310744907813e-05,6.476550263169077e-05
Lua 5.4.6,Spectralnorm,4000,33.64062523841858,1.507681477292352e-05,6.426467796050178e-05
Lua 5.4.6,Spectralnorm,4000,33.6498019695282,1.519607091039651e-05,6.477300530848238e-05
Lua 5.4.6,Spectralnorm,4000,33.605862855911255,1.4965923916788834e-05,6.379200748828385e-05
Lua 5.4.6,Spectralnorm,4000,33.731226205825806,1.9106122425206525e-05,8.143953634921048e-05
Lua 5.4.6,Spectralnorm,4000,34.681567907333374,1.5886074366119186e-05,6.771413382544782e-05
Lua 5.4.6,Spectralnorm,4000,33.92526316642761,1.648725083755076e-05,7.027663876537481e-05
Lua 5.4.7,BinaryTrees,16,8.164196014404297,1.0113232621640155e-06,4.3107489702436664e-06
Lua 5.4.7,BinaryTrees,16,8.152371168136597,1.0006163894488187e-06,4.265111099289523e-06
Lua 5.4.7,BinaryTrees,16,8.152670860290527,9.978268992425355e-07,4.253220942616463e-06
Lua 5.4.7,BinaryTrees,16,8.096550703048706,1.0060785807114046e-06,4.288393600781759e-06
Lua 5.4.7,BinaryTrees,16,8.909772157669067,2.1529975315220764e-06,9.177116990354325e-06
Lua 5.4.7,BinaryTrees,16,9.006036043167114,2.20791848096349e-06,9.411216644843417e-06
Lua 5.4.7,BinaryTrees,16,8.38363790512085,1.1816886710185762e-06,5.036928756925795e-06
Lua 5.4.7,BinaryTrees,16,8.168356895446777,1.0108928731554848e-06,4.308914444088936e-06
Lua 5.4.7,BinaryTrees,16,8.150911092758179,9.99718439024428e-07,4.261283600197898e-06
Lua 5.4.7,BinaryTrees,16,8.155611038208008,1.0029227717302308e-06,4.274942016283672e-06
Lua 5.4.7,Fannkuch,11,32.946327209472656,1.4681347607006363e-05,6.25790055924058e-05
Lua 5.4.7,Fannkuch,11,32.79902791976929,1.5025224065270965e-05,6.404477340751887e-05
Lua 5.4.7,Fannkuch,11,33.35835790634155,1.669888884359974e-05,7.117874232688878e-05
Lua 5.4.7,Fannkuch,11,33.223814725875854,1.4991446921314085e-05,6.390079888030556e-05
Lua 5.4.7,Fannkuch,11,33.12406921386719,1.4919881886351114e-05,6.359575408175918e-05
Lua 5.4.7,Fannkuch,11,33.09770703315735,1.4855620300789606e-05,6.332184011760024e-05
Lua 5.4.7,Fannkuch,11,33.31568908691406,1.707149060434938e-05,7.276695127703748e-05
Lua 5.4.7,Fannkuch,11,33.30538606643677,1.4950003263975879e-05,6.37241459643907e-05
Lua 5.4.7,Fannkuch,11,32.983017921447754,1.468682776906989e-05,6.260236469414501e-05
Lua 5.4.7,Fannkuch,11,33.095505237579346,1.4831947986275062e-05,6.322093726167414e-05
Lua 5.4.7,Fasta,2500000,9.998734951019287,1.9455455616762388e-06,8.29285634013017e-06
Lua 5.4.7,Fasta,2500000,9.980210781097412,1.934188899613501e-06,8.24444875264168e-06
Lua 5.4.7,Fasta,2500000,9.941102743148804,1.911519816710778e-06,8.147822155157725e-06
Lua 5.4.7,Fasta,2500000,10.558035135269165,3.5549433846166953e-06,1.5152888406541614e-05
Lua 5.4.7,Fasta,2500000,10.245954990386963,3.225467644680197e-06,1.3748503419280052e-05
Lua 5.4.7,Fasta,2500000,10.24878978729248,2.0958492484540624e-06,8.93352336247762e-06
Lua 5.4.7,Fasta,2500000,9.962559223175049,2.0108961607752534e-06,8.57141220679548e-06
Lua 5.4.7,Fasta,2500000,9.935895919799805,1.995689611595234e-06,8.506594538033008e-06
Lua 5.4.7,Fasta,2500000,9.916492938995361,1.9895391741656163e-06,8.480378398438295e-06
Lua 5.4.7,Fasta,2500000,9.930524826049805,2.0429331901328273e-06,8.707969523807367e-06
Lua 5.4.7,Knucleotide,1000000,8.963639736175537,1.4686374201731327e-06,6.260043137073518e-06
Lua 5.4.7,Knucleotide,1000000,8.97951602935791,1.5222475164697266e-06,6.488555301335123e-06
Lua 5.4.7,Knucleotide,1000000,8.982378005981445,1.468915718651e-06,6.261229379812877e-06
Lua 5.4.7,Knucleotide,1000000,9.053095817565918,1.5176141453688132e-06,6.468805632313093e-06
Lua 5.4.7,Knucleotide,1000000,8.99284815788269,1.4680481492893918e-06,6.257531379507648e-06
Lua 5.4.7,Knucleotide,1000000,8.978670835494995,1.4770415747780665e-06,6.295865709503491e-06
Lua 5.4.7,Knucleotide,1000000,8.97711706161499,1.4814646535419697e-06,6.314719010856416e-06
Lua 5.4.7,Knucleotide,1000000,9.48399305343628,2.798122738079169e-06,1.192695269955529e-05
Lua 5.4.7,Knucleotide,1000000,9.433919906616211,2.801696214642018e-06,1.194218458533287e-05
Lua 5.4.7,Knucleotide,1000000,9.513150930404663,2.3296305899942896e-06,9.930012531677883e-06
Lua 5.4.7,Mandelbrot,4000,15.99596118927002,5.569937650609435e-06,2.3741768720229468e-05
Lua 5.4.7,Mandelbrot,4000,15.989906072616577,5.226865230299291e-06,2.227942810383108e-05
Lua 5.4.7,Mandelbrot,4000,16.00541090965271,5.276911932114985e-06,2.249275135702557e-05
Lua 5.4.7,Mandelbrot,4000,16.03449296951294,5.231507798710463e-06,2.2299216976238623e-05
Lua 5.4.7,Mandelbrot,4000,15.985361814498901,5.227404271737487e-06,2.2281725759201582e-05
Lua 5.4.7,Mandelbrot,4000,16.033626079559326,5.261117842428242e-06,2.2425429306401148e-05
Lua 5.4.7,Mandelbrot,4000,15.95967698097229,5.239822064504104e-06,2.233465639907122e-05
Lua 5.4.7,Mandelbrot,4000,16.318406343460083,8.773374550279413e-06,3.739636644691892e-05
Lua 5.4.7,Mandelbrot,4000,16.171112060546875,5.356090662290825e-06,2.2830249407688773e-05
Lua 5.4.7,Mandelbrot,4000,16.03649115562439,5.2850170420844526e-06,2.2527299256556563e-05
Lua 5.4.7,Nbody,5000000,14.814747095108032,4.610898930650006e-06,1.965388176147143e-05
Lua 5.4.7,Nbody,5000000,14.870604038238525,4.641694096800577e-06,1.9785145656744642e-05
Lua 5.4.7,Nbody,5000000,15.030904769897461,4.726111562562403e-06,2.0144973732709887e-05
Lua 5.4.7,Nbody,5000000,14.844491004943848,4.604609314075306e-06,1.962707237303257e-05
Lua 5.4.7,Nbody,5000000,14.927544116973877,4.66243298912525e-06,1.987354484825664e-05
Lua 5.4.7,Nbody,5000000,14.849634885787964,4.604957135132091e-06,1.9628554954634773e-05
Lua 5.4.7,Nbody,5000000,15.434142827987671,8.105675389970045e-06,3.4550309626691866e-05
Lua 5.4.7,Nbody,5000000,14.858077049255371,4.658632199920371e-06,1.9857344046036404e-05
Lua 5.4.7,Nbody,5000000,14.831751108169556,4.621776824861567e-06,1.970024860877461e-05
Lua 5.4.7,Nbody,5000000,14.730528116226196,4.5542555275254856e-06,1.941244017614921e-05
Lua 5.4.7,Spectralnorm,4000,32.834131956100464,1.4891311051063816e-05,6.34739713606437e-05
Lua 5.4.7,Spectralnorm,4000,32.83463191986084,1.489300442756917e-05,6.348118935047918e-05
Lua 5.4.7,Spectralnorm,4000,33.15917706489563,2.105638221517732e-05,8.97524870108366e-05
Lua 5.4.7,Spectralnorm,4000,32.80930995941162,1.523763873913357e-05,6.495018750296699e-05
Lua 5.4.7,Spectralnorm,4000,32.82261300086975,1.4891566641189372e-05,6.347506080940036e-05
Lua 5.4.7,Spectralnorm,4000,32.81611967086792,1.489510331575353e-05,6.349013582725658e-05
Lua 5.4.7,Spectralnorm,4000,33.07065200805664,1.6936519160823596e-05,7.219163769239188e-05
Lua 5.4.7,Spectralnorm,4000,32.9247510433197,1.4980685430527216e-05,6.385492820070849e-05
Lua 5.4.7,Spectralnorm,4000,32.796411752700806,1.492610445584036e-05,6.362227768308587e-05
Lua 5.4.7,Spectralnorm,4000,32.789408922195435,1.4926550875651663e-05,6.36241805402769e-05
Lua JIT,BinaryTrees,16,6.635828018188477,2.985487015665654e-07,1.2725589887963401e-06
Lua JIT,BinaryTrees,16,6.749403953552246,2.8417648205513093e-07,1.2112976366877557e-06
Lua JIT,BinaryTrees,16,6.7540810108184814,2.915705824318265e-07,1.2428148693839709e-06
Lua JIT,BinaryTrees,16,6.701304912567139,2.847270106934203e-07,1.2136442560619778e-06
Lua JIT,BinaryTrees,16,6.834059953689575,5.026167376589319e-07,2.142395676387681e-06
Lua JIT,BinaryTrees,16,6.872124910354614,4.972516315949679e-07,2.1195269989768667e-06
Lua JIT,BinaryTrees,16,6.857703924179077,5.08201123703958e-07,2.1661990311543147e-06
Lua JIT,BinaryTrees,16,6.725334167480469,2.9239914592392746e-07,1.2463466078042985e-06
Lua JIT,BinaryTrees,16,6.741194009780884,2.9150750856790987e-07,1.242546018064022e-06
Lua JIT,BinaryTrees,16,6.746329069137573,2.8722772525960746e-07,1.22430351126194e-06
Lua JIT,Fannkuch,11,10.065274000167847,2.065399087114169e-06,8.80373004460335e-06
Lua JIT,Fannkuch,11,10.121273756027222,2.091569282696198e-06,8.915280077987248e-06
Lua JIT,Fannkuch,11,10.06468415260315,2.0652717670709535e-06,8.803187344988186e-06
Lua JIT,Fannkuch,11,10.066869020462036,2.056460609186838e-06,8.765629927694798e-06
Lua JIT,Fannkuch,11,10.158390045166016,2.094564538336277e-06,8.928047306478023e-06
Lua JIT,Fannkuch,11,10.085145235061646,2.0425863129484207e-06,8.706490965445837e-06
Lua JIT,Fannkuch,11,10.073007822036743,2.053154088083016e-06,8.751535935223102e-06
Lua JIT,Fannkuch,11,10.149868965148926,2.0958056001461614e-06,8.93333731227451e-06
Lua JIT,Fannkuch,11,10.054222106933594,2.081119837216883e-06,8.870739486442671e-06
Lua JIT,Fannkuch,11,10.322361946105957,3.5259909083058647e-06,1.5029478946765263e-05
Lua JIT,Fasta,2500000,7.874664068222046,1.3386381399079814e-06,5.705923317525122e-06
